"timestamp","sys_time","abs_timestamp","raw_x_grav","raw_y_grav","raw_z_grav"
"0.0","1519411773631","756352941763016","5.832","1.3294","7.7710996"
"19.0","1519411773651","756352961753641","5.8364","1.3281","7.7679996"
"40.0","1519411773673","756352981859891","5.8268","1.3255999","7.7756"
"60.0","1519411773693","756353001767703","5.8134","1.3149999","7.7875"
"79.0","1519411773715","756353021758328","5.8057","1.3168","7.7928"
"100.0","1519411773734","756353041864578","5.8128","1.3196","7.7871"
"120.0","1519411773750","756353061770828","5.8382998","1.3122","7.7693"
"139.0","1519411773770","756353081761453","5.8543","1.3124","7.7572"
"159.0","1519411773789","756353101753641","5.8538","1.3176","7.7567"
"179.0","1519411773809","756353121744266","5.8482","1.3154","7.7612996"
"200.0","1519411773829","756353141766141","5.8424997","1.3165","7.7654"
"220.0","1519411773849","756353161772391","5.8385","1.3189","7.7679"
"239.0","1519411773869","756353181747391","5.8472","1.3148999","7.7620997"
"260.0","1519411773889","756353201770828","5.8542","1.3102","7.7576"
"279.0","1519411773912","756353221761453","5.8526998","1.314","7.7581"
"299.0","1519411773930","756353241752078","5.8490996","1.3144","7.7606997"
"319.0","1519411773949","756353261742703","5.8483996","1.309","7.7622"
"340.0","1519411773969","756353281781766","5.8549","1.3077999","7.7574997"
"359.0","1519411773988","756353301756766","5.8573","1.3082","7.7556"
"379.0","1519411774008","756353321747391","5.8550997","1.3111","7.7567997"
"400.0","1519411774029","756353341769266","5.8497996","1.3125","7.7605996"
"419.0","1519411774050","756353361759891","5.8497","1.3064","7.7616997"
"439.0","1519411774069","756353381750516","5.8476","1.3009","7.7641997"
"459.0","1519411774089","756353401758328","5.8497","1.2987","7.763"
"480.0","1519411774109","756353421764578","5.8543997","1.2914","7.7605996"
"499.0","1519411774129","756353441753641","5.8459997","1.288","7.7675"
"519.0","1519411774149","756353461745828","5.8343","1.2844","7.7769"
"540.0","1519411774169","756353481767703","5.8412","1.2748","7.7732997"
"559.0","1519411774189","756353501759891","5.8465","1.2709","7.77"
"580.0","1519411774210","756353521766141","5.8462","1.2636","7.7714"
"600.0","1519411774230","756353541772391","5.8441","1.2566999","7.7739997"
"620.0","1519411774251","756353561763016","5.844","1.2512","7.7749996"
"639.0","1519411774268","756353581753641","5.8447","1.2428","7.7757998"
"659.0","1519411774289","756353601744266","5.8464","1.2329999","7.7760997"
"680.0","1519411774308","756353621767703","5.8518","1.2251999","7.7732997"
"700.0","1519411774329","756353641773953","5.8518996","1.2147","7.7749"
"719.0","1519411774349","756353661748953","5.8524","1.2025","7.7763996"
"740.0","1519411774368","756353681770828","5.8496","1.1946","7.7798"
"760.0","1519411774388","756353701763016","5.8459997","1.1905999","7.7830997"
"779.0","1519411774409","756353721753641","5.8496","1.1808","7.7818"
"799.0","1519411774428","756353741744266","5.8543","1.1729","7.7795"
"820.0","1519411774449","756353761781766","5.8595","1.1707","7.7759"
"839.0","1519411774468","756353781756766","5.8594","1.1601","7.7776"
"859.0","1519411774488","756353801747391","5.8575","1.1511999","7.7804"
