"timestamp","sys_time","abs_timestamp","raw_x_mag","raw_y_mag","raw_z_mag"
"0.0","1519411773625","756352937231766","-32.5625","65.125","-21.0625"
"10.0","1519411773638","756352947242703","-32.875","64.9375","-21.1875"
"19.0","1519411773645","756352957222391","-33.0625","64.8125","-21.125"
"30.0","1519411773656","756352967233328","-33.25","64.8125","-21.1875"
"40.0","1519411773664","756352977244266","-33.5","64.8125","-21.125"
"49.0","1519411773678","756352987227078","-33.6875","64.8125","-21.1875"
"60.0","1519411773687","756352997234891","-33.875","64.375","-21.125"
"70.0","1519411773699","756353007245828","-34.0","64.1875","-21.125"
"79.0","1519411773707","756353017225516","-34.1875","64.0","-20.9375"
"90.0","1519411773722","756353027236453","-33.875","63.875","-20.75"
"99.0","1519411773730","756353037217703","-33.875","63.625","-20.75"
"109.0","1519411773738","756353047227078","-33.8125","63.1875","-20.8125"
"120.0","1519411773745","756353057239578","-33.6875","63.0","-21.0"
"129.0","1519411773754","756353067219266","-33.6875","62.8125","-20.9375"
"139.0","1519411773764","756353077230203","-33.8125","63.0","-20.9375"
"150.0","1519411773774","756353087241141","-33.625","63.0","-20.9375"
"159.0","1519411773784","756353097220828","-33.5","62.875","-21.0"
"170.0","1519411773794","756353107233328","-33.625","63.0","-21.1875"
"180.0","1519411773804","756353117244266","-33.625","63.0625","-21.4375"
"189.0","1519411773813","756353127223953","-33.875","63.4375","-21.1875"
"200.0","1519411773823","756353137234891","-33.875","63.4375","-21.1875"
"210.0","1519411773835","756353147245828","-33.875","63.5","-21.0"
"219.0","1519411773844","756353157225516","-33.875","63.6875","-21.1875"
"230.0","1519411773854","756353167236453","-34.0","63.8125","-21.3125"
"239.0","1519411773864","756353177216141","-33.875","63.8125","-21.3125"
"249.0","1519411773874","756353187227078","-33.8125","64.0","-21.125"
"260.0","1519411773884","756353197238016","-33.8125","64.0625","-21.125"
"269.0","1519411773895","756353207217703","-33.6875","64.0625","-21.1875"
"279.0","1519411773903","756353217228641","-33.8125","64.0625","-21.125"
"290.0","1519411773917","756353227348953","-33.8125","64.0","-21.125"
"299.0","1519411773923","756353237222391","-33.8125","64.0625","-21.125"
"309.0","1519411773936","756353247230203","-34.0","64.25","-21.125"
"320.0","1519411773943","756353257242703","-34.4375","64.5625","-21.0"
"329.0","1519411773954","756353267222391","-34.5","64.4375","-21.125"
"340.0","1519411773963","756353277233328","-34.625","64.5625","-21.125"
"350.0","1519411773974","756353287244266","-34.5","64.4375","-20.9375"
"359.0","1519411773983","756353297223953","-34.375","64.625","-20.75"
"370.0","1519411773994","756353307236453","-34.4375","64.75","-20.8125"
"380.0","1519411774003","756353317245828","-34.375","64.4375","-20.5625"
"389.0","1519411774013","756353327227078","-34.1875","64.25","-20.375"
"400.0","1519411774023","756353337238016","-33.8125","64.0625","-20.375"
"409.0","1519411774035","756353347217703","-33.8125","64.25","-20.1875"
"419.0","1519411774044","756353357228641","-33.5","64.375","-20.1875"
"430.0","1519411774055","756353367239578","-33.5","64.4375","-20.3125"
"439.0","1519411774064","756353377219266","-33.4375","64.25","-20.5"
"449.0","1519411774073","756353387230203","-33.3125","64.5625","-20.5625"
"460.0","1519411774083","756353397241141","-33.3125","65.0","-20.75"
"469.0","1519411774094","756353407223953","-33.625","65.0","-20.8125"
"480.0","1519411774103","756353417236453","-33.8125","65.375","-20.9375"
"490.0","1519411774113","756353427244266","-33.6875","65.5","-21.125"
"499.0","1519411774123","756353437222391","-33.8125","65.5","-21.0"
"510.0","1519411774135","756353447234891","-33.5","65.5625","-21.125"
"520.0","1519411774143","756353457245828","-33.625","65.9375","-21.125"
"529.0","1519411774154","756353467225516","-33.5","66.0","-20.8125"
"540.0","1519411774163","756353477236453","-33.6875","65.9375","-20.625"
"549.0","1519411774174","756353487216141","-33.5","66.125","-20.5"
"559.0","1519411774183","756353497227078","-33.4375","66.0","-20.375"
"570.0","1519411774195","756353507238016","-33.4375","65.8125","-20.375"
"579.0","1519411774204","756353517217703","-33.25","65.8125","-20.3125"
"590.0","1519411774217","756353527231766","-33.6875","66.0","-20.1875"
"600.0","1519411774225","756353537241141","-33.8125","66.0","-20.125"
"609.0","1519411774235","756353547223953","-33.6875","66.125","-20.375"
"620.0","1519411774245","756353557231766","-33.4375","66.1875","-20.5625"
"630.0","1519411774256","756353567242703","-33.3125","66.375","-20.5625"
"639.0","1519411774263","756353577222391","-33.25","66.5625","-20.8125"
"650.0","1519411774273","756353587233328","-33.125","66.6875","-20.9375"
"660.0","1519411774283","756353597244266","-33.25","67.0625","-20.6875"
"669.0","1519411774295","756353607225516","-32.75","66.875","-20.5625"
"680.0","1519411774303","756353617234891","-32.5625","66.875","-20.625"
"690.0","1519411774313","756353627245828","-32.5625","66.6875","-20.8125"
"699.0","1519411774324","756353637225516","-32.5","66.9375","-20.8125"
"710.0","1519411774334","756353647238016","-32.5625","67.0625","-20.8125"
"719.0","1519411774343","756353657216141","-32.5","67.0625","-20.625"
"729.0","1519411774353","756353667228641","-32.5","67.3125","-20.5625"
"740.0","1519411774363","756353677239578","-32.5625","67.3125","-20.9375"
"749.0","1519411774373","756353687219266","-32.4375","67.5625","-21.1875"
"759.0","1519411774384","756353697230203","-32.5","67.6875","-21.3125"
"770.0","1519411774393","756353707241141","-32.4375","67.75","-20.9375"
"779.0","1519411774403","756353717220828","-32.125","67.5","-20.9375"
"790.0","1519411774413","756353727233328","-31.9375","67.3125","-21.125"
"800.0","1519411774423","756353737244266","-32.0625","67.125","-21.3125"
"809.0","1519411774433","756353747222391","-31.75","67.0","-21.3125"
"820.0","1519411774443","756353757234891","-31.6875","67.0","-21.375"
"830.0","1519411774453","756353767245828","-32.0625","67.0","-21.1875"
"839.0","1519411774463","756353777225516","-31.6875","67.0","-20.9375"
"850.0","1519411774473","756353787236453","-31.6875","66.9375","-21.125"
"859.0","1519411774483","756353797216141","-31.9375","66.875","-21.0"
"869.0","1519411774493","756353807227078","-31.9375","67.0","-21.0"
"880.0","1519411774503","756353817238016","-31.5625","67.3125","-21.0"
"889.0","1519411774516","756353827217703","-31.875","67.125","-21.125"
"899.0","1519411774523","756353837228641","-31.875","67.0","-21.0"
"910.0","1519411774538","756353847241141","-31.5","66.9375","-21.0"
"919.0","1519411774543","756353857220828","-31.875","66.75","-21.1875"
"929.0","1519411774553","756353867230203","-32.0625","66.9375","-21.0"
"940.0","1519411774568","756353877242703","-31.75","67.1875","-21.125"
"949.0","1519411774573","756353887222391","-31.5625","67.1875","-21.1875"
"960.0","1519411774583","756353897233328","-31.75","67.125","-21.3125"
"970.0","1519411774600","756353907244266","-31.75","67.3125","-21.1875"
"979.0","1519411774603","756353917223953","-31.6875","67.3125","-21.1875"
"990.0","1519411774613","756353927236453","-31.5625","67.5","-21.375"
"1000.0","1519411774627","756353937245828","-31.1875","67.5","-21.4375"
"1009.0","1519411774637","756353947225516","-31.0","67.5625","-21.75"
"1020.0","1519411774643","756353957238016","-31.1875","67.5625","-21.75"
"1029.0","1519411774653","756353967217703","-31.375","67.3125","-21.8125"
"1039.0","1519411774666","756353977230203","-31.5","67.375","-21.625"
"1050.0","1519411774673","756353987239578","-31.3125","67.3125","-21.75"
"1059.0","1519411774683","756353997219266","-31.125","67.0625","-21.625"
"1069.0","1519411774697","756354007230203","-31.0","66.875","-21.8125"
"1080.0","1519411774703","756354017241141","-31.1875","67.125","-21.8125"
"1089.0","1519411774713","756354027222391","-31.0","67.0625","-21.625"
"1100.0","1519411774728","756354037231766","-31.0","66.875","-21.8125"
"1110.0","1519411774735","756354047244266","-31.0","66.9375","-21.8125"
"1119.0","1519411774743","756354057223953","-30.75","67.0625","-21.8125"
"1130.0","1519411774754","756354067234891","-31.0","67.3125","-21.8125"
"1140.0","1519411774763","756354077245828","-31.1875","67.6875","-21.75"
"1149.0","1519411774773","756354087225516","-31.375","67.6875","-21.4375"
"1160.0","1519411774783","756354097236453","-31.125","67.6875","-21.4375"
"1169.0","1519411774798","756354107217703","-30.9375","67.4375","-21.75"
"1179.0","1519411774804","756354117227078","-31.125","67.5625","-21.75"
"1190.0","1519411774813","756354127239578","-30.9375","67.5","-21.75"
"1199.0","1519411774824","756354137219266","-30.9375","67.25","-22.0"
"1209.0","1519411774835","756354147228641","-30.5625","67.125","-22.0"
"1220.0","1519411774843","756354157241141","-30.5625","66.9375","-22.4375"
"1229.0","1519411774853","756354167222391","-30.75","67.3125","-22.625"
"1240.0","1519411774864","756354177231766","-30.6875","67.4375","-22.75"
"1250.0","1519411774873","756354187242703","-30.875","67.6875","-22.5625"
"1259.0","1519411774883","756354197222391","-30.375","67.875","-22.625"
