,sys_time,RPM,Speed
0,1970-01-01 00:00:00.000,1667.0,0.0
1,1970-01-01 00:00:00.810,1652.0,0.0
2,1970-01-01 00:00:01.390,1646.0,0.0
3,1970-01-01 00:00:01.580,1663.0,0.0
4,1970-01-01 00:00:01.760,1660.0,0.0
5,1970-01-01 00:00:01.950,1560.0,0.0
6,1970-01-01 00:00:02.160,1406.0,0.0
7,1970-01-01 00:00:02.360,1223.0,0.0
8,1970-01-01 00:00:02.520,1043.0,0.0
9,1970-01-01 00:00:02.680,1032.0,0.0
10,1970-01-01 00:00:02.830,1075.0,0.0
11,1970-01-01 00:00:03.000,1084.0,0.0
12,1970-01-01 00:00:03.160,1033.0,0.0
13,1970-01-01 00:00:03.310,999.0,0.0
14,1970-01-01 00:00:03.470,971.0,0.0
15,1970-01-01 00:00:03.630,940.0,0.0
16,1970-01-01 00:00:03.760,908.0,0.0
17,1970-01-01 00:00:03.850,897.0,0.0
18,1970-01-01 00:00:03.960,879.0,0.0
19,1970-01-01 00:00:04.090,862.0,2.0
20,1970-01-01 00:00:04.190,868.0,2.0
21,1970-01-01 00:00:04.300,875.0,2.0
22,1970-01-01 00:00:04.400,891.0,2.0
23,1970-01-01 00:00:04.500,934.0,2.0
24,1970-01-01 00:00:04.610,982.0,2.0
25,1970-01-01 00:00:04.710,1073.0,3.0
26,1970-01-01 00:00:04.810,1133.0,3.0
27,1970-01-01 00:00:04.920,1190.0,3.0
28,1970-01-01 00:00:05.020,1225.0,4.0
29,1970-01-01 00:00:05.130,1239.0,4.0
30,1970-01-01 00:00:05.250,1266.0,4.0
31,1970-01-01 00:00:05.350,1330.0,5.0
32,1970-01-01 00:00:05.460,1354.0,5.0
33,1970-01-01 00:00:05.560,1439.0,6.0
34,1970-01-01 00:00:05.660,1492.0,6.0
35,1970-01-01 00:00:05.770,1515.0,7.0
36,1970-01-01 00:00:05.870,1542.0,7.0
37,1970-01-01 00:00:05.990,1558.0,8.0
38,1970-01-01 00:00:06.100,1528.0,8.0
39,1970-01-01 00:00:06.210,1482.0,8.0
40,1970-01-01 00:00:06.310,1365.0,9.0
41,1970-01-01 00:00:06.410,1312.0,9.0
42,1970-01-01 00:00:06.550,1200.0,9.0
43,1970-01-01 00:00:06.640,1178.0,9.0
44,1970-01-01 00:00:06.750,1128.0,9.0
45,1970-01-01 00:00:06.850,1114.0,9.0
46,1970-01-01 00:00:06.950,1089.0,9.0
47,1970-01-01 00:00:07.050,1084.0,9.0
48,1970-01-01 00:00:07.160,1062.0,8.0
49,1970-01-01 00:00:07.260,1033.0,8.0
50,1970-01-01 00:00:07.380,1001.0,8.0
51,1970-01-01 00:00:07.480,971.0,7.0
52,1970-01-01 00:00:07.640,922.0,6.0
53,1970-01-01 00:00:07.740,918.0,5.0
54,1970-01-01 00:00:07.870,908.0,5.0
55,1970-01-01 00:00:07.990,898.0,4.0
56,1970-01-01 00:00:08.090,892.0,3.0
57,1970-01-01 00:00:08.200,891.0,3.0
58,1970-01-01 00:00:08.300,897.0,2.0
59,1970-01-01 00:00:08.410,913.0,2.0
60,1970-01-01 00:00:08.510,927.0,0.0
61,1970-01-01 00:00:08.610,950.0,0.0
62,1970-01-01 00:00:08.720,961.0,0.0
63,1970-01-01 00:00:08.830,984.0,0.0
64,1970-01-01 00:00:08.930,999.0,0.0
65,1970-01-01 00:00:09.030,1009.0,0.0
66,1970-01-01 00:00:09.140,1023.0,0.0
67,1970-01-01 00:00:09.240,1025.0,0.0
68,1970-01-01 00:00:09.340,1041.0,0.0
69,1970-01-01 00:00:09.460,1118.0,0.0
70,1970-01-01 00:00:09.600,1190.0,0.0
71,1970-01-01 00:00:09.710,1254.0,0.0
72,1970-01-01 00:00:09.820,1292.0,0.0
73,1970-01-01 00:00:09.950,1289.0,0.0
74,1970-01-01 00:00:10.050,1260.0,0.0
75,1970-01-01 00:00:10.230,1164.0,0.0
76,1970-01-01 00:00:10.420,1088.0,0.0
77,1970-01-01 00:00:10.540,1021.0,0.0
78,1970-01-01 00:00:10.650,953.0,0.0
79,1970-01-01 00:00:10.750,929.0,0.0
80,1970-01-01 00:00:10.860,902.0,0.0
81,1970-01-01 00:00:10.960,871.0,0.0
82,1970-01-01 00:00:11.060,863.0,0.0
83,1970-01-01 00:00:11.170,864.0,0.0
84,1970-01-01 00:00:11.270,870.0,0.0
85,1970-01-01 00:00:11.380,876.0,0.0
86,1970-01-01 00:00:11.490,880.0,0.0
87,1970-01-01 00:00:11.590,883.0,0.0
88,1970-01-01 00:00:11.710,903.0,0.0
89,1970-01-01 00:00:11.810,922.0,0.0
90,1970-01-01 00:00:11.910,930.0,0.0
91,1970-01-01 00:00:12.000,938.0,2.0
92,1970-01-01 00:00:12.110,936.0,2.0
93,1970-01-01 00:00:12.220,944.0,2.0
94,1970-01-01 00:00:12.360,964.0,2.0
95,1970-01-01 00:00:12.470,982.0,2.0
96,1970-01-01 00:00:12.570,1006.0,2.0
97,1970-01-01 00:00:12.670,1027.0,3.0
98,1970-01-01 00:00:12.770,1118.0,3.0
99,1970-01-01 00:00:12.880,1154.0,3.0
100,1970-01-01 00:00:12.980,1256.0,3.0
101,1970-01-01 00:00:13.080,1290.0,3.0
102,1970-01-01 00:00:13.190,1275.0,4.0
103,1970-01-01 00:00:13.280,1178.0,4.0
104,1970-01-01 00:00:13.390,1129.0,4.0
105,1970-01-01 00:00:13.490,1070.0,5.0
106,1970-01-01 00:00:13.590,1003.0,5.0
107,1970-01-01 00:00:13.700,974.0,5.0
108,1970-01-01 00:00:13.800,954.0,5.0
109,1970-01-01 00:00:13.900,948.0,5.0
110,1970-01-01 00:00:14.040,936.0,4.0
111,1970-01-01 00:00:14.150,931.0,4.0
112,1970-01-01 00:00:14.240,922.0,4.0
113,1970-01-01 00:00:14.350,919.0,4.0
114,1970-01-01 00:00:14.460,906.0,3.0
115,1970-01-01 00:00:14.560,896.0,3.0
116,1970-01-01 00:00:14.660,887.0,2.0
117,1970-01-01 00:00:14.770,874.0,2.0
118,1970-01-01 00:00:14.870,873.0,2.0
119,1970-01-01 00:00:14.970,877.0,0.0
120,1970-01-01 00:00:15.070,901.0,0.0
121,1970-01-01 00:00:15.170,923.0,0.0
122,1970-01-01 00:00:15.270,958.0,0.0
123,1970-01-01 00:00:15.380,988.0,0.0
124,1970-01-01 00:00:15.480,1001.0,0.0
125,1970-01-01 00:00:15.580,1008.0,0.0
126,1970-01-01 00:00:15.690,1014.0,0.0
127,1970-01-01 00:00:15.820,1053.0,0.0
128,1970-01-01 00:00:15.930,1091.0,0.0
129,1970-01-01 00:00:16.040,1131.0,0.0
130,1970-01-01 00:00:16.140,1134.0,0.0
131,1970-01-01 00:00:16.250,1122.0,0.0
132,1970-01-01 00:00:16.360,1065.0,0.0
133,1970-01-01 00:00:16.480,1010.0,0.0
134,1970-01-01 00:00:16.600,974.0,0.0
135,1970-01-01 00:00:16.710,966.0,0.0
136,1970-01-01 00:00:16.810,951.0,0.0
137,1970-01-01 00:00:16.920,941.0,0.0
138,1970-01-01 00:00:17.020,945.0,0.0
139,1970-01-01 00:00:17.130,952.0,0.0
140,1970-01-01 00:00:17.240,995.0,0.0
141,1970-01-01 00:00:17.340,1085.0,2.0
142,1970-01-01 00:00:17.440,1379.0,2.0
143,1970-01-01 00:00:17.540,1494.0,3.0
144,1970-01-01 00:00:17.670,1662.0,4.0
145,1970-01-01 00:00:17.770,1777.0,5.0
146,1970-01-01 00:00:17.880,1820.0,6.0
147,1970-01-01 00:00:18.020,1808.0,7.0
148,1970-01-01 00:00:18.120,1799.0,8.0
149,1970-01-01 00:00:18.230,1791.0,8.0
150,1970-01-01 00:00:18.340,1819.0,9.0
151,1970-01-01 00:00:18.440,1834.0,10.0
152,1970-01-01 00:00:18.550,1868.0,11.0
153,1970-01-01 00:00:18.660,1889.0,12.0
154,1970-01-01 00:00:18.760,1892.0,12.0
