"timestamp","sys_time","abs_timestamp","raw_x_grav","raw_y_grav","raw_z_grav"
"0.0","1508898517350","2528100136330320","9.479","-0.2502","2.5009"
"19.0","1508898517369","2528100156324070","9.4786","-0.2491","2.5026999"
"40.0","1508898517389","2528100176344382","9.4782","-0.2491","2.5042999"
"60.0","1508898517410","2528100196335007","9.477799","-0.24949999","2.5054998"
"79.0","1508898517429","2528100216325632","9.4781","-0.2472","2.5046"
"100.0","1508898517450","2528100236333445","9.4784","-0.24669999","2.5036"
"120.0","1508898517470","2528100256339695","9.4784","-0.2471","2.5037"
"140.0","1508898517489","2528100276330320","9.4781","-0.25149998","2.5042"
"159.0","1508898517509","2528100296320945","9.4782","-0.25579998","2.5033998"
"180.0","1508898517529","2528100316342820","9.4783","-0.25579998","2.5033"
"200.0","1508898517549","2528100336335007","9.4781","-0.2543","2.5039"
"220.0","1508898517570","2528100356341257","9.478499","-0.2593","2.5017998"
"239.0","1508898517598","2528100376316257","9.477799","-0.2562","2.5051"
"260.0","1508898517611","2528100396339695","9.4781","-0.2644","2.5028"
"279.0","1508898517629","2528100416328757","9.4781","-0.2593","2.5036"
"299.0","1508898517650","2528100436319382","9.4776","-0.26119998","2.5054"
"320.0","1508898517670","2528100456342820","9.4774","-0.2589","2.5061998"
"340.0","1508898517690","2528100476350632","9.477099","-0.2516","2.5081"
"359.0","1508898517710","2528100496324070","9.4769","-0.2562","2.5082998"
"379.0","1508898517729","2528100516314695","9.477099","-0.2597","2.5074"
"400.0","1508898517749","2528100536336570","9.4767","-0.2532","2.5093"
"419.0","1508898517775","2528100556328757","9.4773","-0.25509998","2.5070999"
"439.0","1508898517789","2528100576319382","9.4762","-0.26209998","2.5105"
"460.0","1508898517810","2528100596360007","9.4765","-0.2586","2.5096"
"480.0","1508898517830","2528100616333445","9.4772","-0.25509998","2.5073"
"499.0","1508898517849","2528100636322507","9.4773","-0.2513","2.5072"
"519.0","1508898517875","2528100656314695","9.478","-0.24949999","2.5047998"
"540.0","1508898517889","2528100676336570","9.4781","-0.251","2.5042999"
"559.0","1508898517910","2528100696327195","9.4788","-0.2529","2.5017"
"580.0","1508898517930","2528100716335007","9.4782","-0.2557","2.5036"
"600.0","1508898517950","2528100736339695","9.478","-0.2561","2.5042999"
"620.0","1508898517976","2528100756331882","9.4777","-0.2568","2.5053"
"639.0","1508898517990","2528100776322507","9.4786","-0.2564","2.5021"
"659.0","1508898518011","2528100796313132","9.4782","-0.258","2.5033998"
"680.0","1508898518029","2528100816335007","9.4782","-0.2573","2.5035"
"700.0","1508898518050","2528100836342820","9.478499","-0.2583","2.5022"
"719.0","1508898518072","2528100856317820","9.4777","-0.2511","2.5058"
"740.0","1508898518089","2528100876339695","9.4783","-0.2564","2.5031"
"760.0","1508898518110","2528100896330320","9.4784","-0.2553","2.5026999"
"779.0","1508898518131","2528100916320945","9.4781","-0.2519","2.5040998"
"800.0","1508898518149","2528100936344382","9.4787","-0.2518","2.5019999"
