sys_time,abs_timestamp,raw_x_acc,raw_y_acc,raw_z_acc
0.0,2528105033838523.0,9.411607074999996,-0.2614468225,2.453577885
50.0,2528105083838445.0,9.406100499999997,-0.25115175675,2.4605210600000005
100.0,2528105133837898.0,9.417512799999999,-0.25458344666666666,2.4655488783333337
150.0,2528105183837800.0,9.419388262499998,-0.2643198675,2.46076047875
200.0,2528105233837881.5,9.426546935,-0.2577118707,2.4559720830000003
250.0,2528105283837936.5,9.421582937499998,-0.25681803550000004,2.4629950708333337
300.0,2528105333837763.5,9.425561878571427,-0.2551534952142857,2.466643378571429
350.0,2528105383838044.0,9.426271590625,-0.2543240752375,2.460161941875
400.0,2528105433837880.0,9.426770388888889,-0.25250847215555555,2.4610265138888887
450.0,2528105483837811.5,9.426451174999999,-0.25435998834,2.4662192675
500.0,2528105533837840.5,9.426799434090908,-0.2550042461727273,2.466114791818182
550.0,2528105583837871.5,9.427289156249998,-0.2568579388666667,2.4633941120833334
600.0,2528105633837891.5,9.427814040384614,-0.2503229960961539,2.4640387034615383
650.0,2528105683837908.5,9.427614082142854,-0.2511517583178572,2.466369759642857
700.0,2528105733837934.0,9.426961956666664,-0.25174232806333335,2.466570417
750.0,2528105783837887.5,9.425044599999998,-0.25453356818437506,2.4651598349999997
800.0,2528105833837897.5,9.426507524999998,-0.2532783727617648,2.4668164094117646
850.0,2528105883837810.5,9.426344776388888,-0.25306711980277785,2.4688475675
900.0,2528105933837901.5,9.424687036842105,-0.25267648686578953,2.4687747615789477
950.0,2528105983837827.0,9.426546947499999,-0.2536656701975001,2.4681825117500003
1000.0,2528106033837834.5,9.425789924999998,-0.2545834474738096,2.4692884035714284
1050.0,2528106083837802.0,9.425667624999999,-0.2558095689295455,2.469183721818182
1100.0,2528106133837799.5,9.425493502173913,-0.2533898164456522,2.4686093032608696
1150.0,2528106183837803.5,9.425633162499999,-0.25444378565625003,2.4686214472916665
1200.0,2528106233837813.5,9.425512656999999,-0.25434083497800003,2.4691689205999996
