sys_time,timestamp,abs_timestamp,raw_x_gyro,raw_y_gyro,raw_z_gyro
0,4799.0,2528105056319382,0.0,0.0,0.0
200,4999.0,2528105256322507,0.0,0.0,0.0
400,5199.0,2528105456325632,-0.04520403,-0.032986723,0.057421334
600,5399.0,2528105656328757,0.0,0.0,0.0
800,5599.0,2528105856331882,0.0,0.0,0.0
1000,5799.0,2528106056335007,0.0,0.0,0.0
1200,5999.0,2528106256338132,0.0,0.0,0.0
1400,6200.0,2528106456341257,0.0,0.0,0.0
1600,6399.0,2528106656313132,0.0,0.0,0.0
1800,6599.0,2528106856316257,0.0,0.0,0.0
2000,6799.0,2528107056319382,-0.04153884,0.0061086523,0.103847094
2200,6999.0,2528107256322507,0.0,0.0,0.0
2400,7199.0,2528107456325632,-0.103847094,-0.007330383,-0.04642576
2600,7399.0,2528107656328757,0.0,0.0,0.0
2800,7599.0,2528107856331882,0.0,0.0,0.0
3000,7799.0,2528108056335007,0.0,0.0,0.0
3200,7999.0,2528108256338132,0.0,0.0,0.0
3400,8200.0,2528108456341257,0.0,0.0,0.0
3600,8400.0,2528108656344382,0.07086037,0.02565634,0.014660766
3800,8599.0,2528108856316257,0.073303826,0.010995574,0.019547688
4000,8799.0,2528109056319382,0.0,0.0,0.0
4200,8999.0,2528109256322507,0.07696902,0.0,0.02443461
4400,9199.0,2528109456325632,0.0,0.0,0.0
4600,9399.0,2528109656328757,0.0,0.0,0.0
4800,9599.0,2528109856331882,0.0,0.0,0.0
5000,9799.0,2528110056335007,0.0,0.0,0.0
5200,9999.0,2528110256338132,0.0,0.0,0.0
5400,10200.0,2528110456341257,-0.07452556,0.02443461,-0.0012217305
5600,10400.0,2528110656342820,0.0,0.0,0.0
5800,10599.0,2528110856316257,0.029321533,0.06963864,0.009773844
6000,10799.0,2528111056319382,0.009773844,-0.059864793,0.05009095
6200,10999.0,2528111256320945,0.0,0.0,0.0
6400,11199.0,2528111456324070,-0.05497787,0.05497787,0.0
6600,11399.0,2528111656328757,-0.052534413,0.04520403,0.09040806
6800,11599.0,2528111856331882,0.05131268,0.058643065,0.0
7000,11799.0,2528112056333445,0.0,0.0,0.0
7200,11999.0,2528112256338132,0.0,0.0,0.0
7400,12200.0,2528112456341257,0.0,0.0,0.0
7600,12400.0,2528112656342820,-0.0720821,0.028099801,0.014660766
7800,12599.0,2528112856316257,-0.07696902,0.002443461,-0.0036651916
8000,12799.0,2528113056317820,0.0,0.0,0.0
8200,12999.0,2528113256320945,-0.07819075,0.019547688,0.0
8400,13199.0,2528113456325632,-0.05131268,0.09896017,-0.02443461
8600,13399.0,2528113656327195,-0.02443461,0.06719518,0.03176499
8800,13599.0,2528113856330320,-0.07941248,0.111177474,0.029321533
9000,13799.0,2528114056335007,-0.119729586,0.14905111,0.043982297
9200,13999.0,2528114256336570,-0.073303826,0.16982053,0.02565634
9400,14200.0,2528114456339695,0.11362094,-0.16737708,0.042760565999999986
9600,14400.0,2528114656342820,0.018325957,-0.058643065,0.04520403
9800,14599.0,2528114856316257,0.0,0.0,0.0
10000,14799.0,2528115056317820,0.06352998,-0.043982297,0.0
10200,14999.0,2528115256320945,0.0,0.0,0.0
10400,15199.0,2528115456324070,0.039095376,0.040317107000000005,-0.09285152
10600,15399.0,2528115656327195,0.0,0.0,0.0
10800,15599.0,2528115856330320,0.0036651916,0.08063421400000001,-0.004886922
11000,15799.0,2528116056333445,-0.008552114,0.06597344599999999,-0.042760565999999986
11200,15999.0,2528116256338132,0.0,0.0,0.0
11400,16200.0,2528116456339695,0.04153884,-0.02687807,-0.061086524
11600,16400.0,2528116656342820,0.0,0.0,0.0
11800,16599.0,2528116856314695,0.073303826,-0.018325957,-0.009773844
12000,16799.0,2528117056317820,0.0,0.0,0.0
12200,16999.0,2528117256320945,0.032986723,0.06719518,0.015882496
12400,17199.0,2528117456324070,0.0,0.0,0.0
12600,17399.0,2528117656327195,0.119729586,0.019547688,-0.103847094
12800,17599.0,2528117856330320,0.034208454,-0.10873401,-0.010995574
13000,17799.0,2528118056333445,0.06352998,-0.04520403,-0.012217305
13200,17999.0,2528118256336570,0.08674286,-0.12705997,0.02443461
13400,18200.0,2528118456339695,0.16615535,-0.08307768,-0.07819075
13600,18400.0,2528118656342820,0.09162979,-0.06352998,-0.002443461
13800,18599.0,2528118856314695,0.09407325,-0.10751228,0.04886922
14000,18799.0,2528119056317820,0.0,0.0,0.0
14200,18999.0,2528119256320945,-0.02687807,-0.021991149,0.10629055
14400,19199.0,2528119456324070,0.06719518,-0.09407325,0.103847094
14600,19399.0,2528119656327195,0.0,0.0,0.0
14800,19599.0,2528119856330320,0.0,-0.030543262,0.0720821
15000,19799.0,2528120056333445,0.0,0.0,0.0
15200,19999.0,2528120256336570,-0.25411993,0.30176744,0.06597344599999999
15400,20200.0,2528120456339695,-0.19303341,0.2761111,0.04520403
15600,20400.0,2528120656342820,0.05131268,-0.16982053,0.029321533
15800,20599.0,2528120856314695,-0.015882496,0.07452556,-0.007330383
16000,20799.0,2528121056317820,0.0,0.0,0.0
16200,20999.0,2528121256320945,0.0,0.0,0.0
16400,21199.0,2528121456322507,0.0842994,-0.0720821,0.010995574
16600,21399.0,2528121656325632,0.0,0.0,0.0
16800,21599.0,2528121856328757,0.02076942,-0.042760565999999986,0.064751714
17000,21799.0,2528122056333445,-0.073303826,0.02565634,-0.009773844
17200,21999.0,2528122256335007,-0.05497787,0.010995574,0.05375614
17400,0.0,2528122456339695,0.0,0.0,0.0
17600,200.0,2528122656341257,0.0,0.0,0.0
17800,399.0,2528122856314695,0.06719518,-0.08307768,0.02076942
18000,599.0,2528123056317820,0.19547687,-0.27977628,-0.02076942
18200,799.0,2528123256319382,-0.06597344599999999,-0.0012217305,0.09285152
18400,999.0,2528123456322507,-0.09040806,0.032986723,0.096516706
18600,1199.0,2528123656325632,0.0,0.0,0.0
18800,1399.0,2528123856328757,-0.09040806,0.002443461,0.07086037
19000,1599.0,2528124056331882,0.056199603,-0.12095132,0.07941248
19200,1799.0,2528124256336570,0.010995574,-0.08552113,0.06963864
19400,2000.0,2528124456339695,-0.030543262,-0.019547688,0.105068825
19600,2200.0,2528124656341257,0.062308256,0.02076942,-0.04642576
19800,2399.0,2528124856314695,0.0,0.0,0.0
20000,2599.0,2528125056316257,0.0,0.0,0.0
20200,2799.0,2528125256320945,0.059864793,-0.04153884,0.028099801
20400,2999.0,2528125456322507,0.1001819,-0.017104227,-0.112399206
20600,3199.0,2528125656325632,0.09407325,-0.010995574,-0.064751714
20800,3399.0,2528125856328757,0.0,0.0,0.0
21000,3599.0,2528126056331882,0.0,0.0,0.0
21200,3799.0,2528126256335007,0.08796459400000001,-0.10873401,0.103847094
21400,3999.0,2528126456338132,-0.172264,0.19914207,0.1001819
21600,4200.0,2528126656341257,0.09773844,0.1282817,-0.2443461
21800,4400.0,2528126856344382,0.0842994,-0.11362094,0.05375614
22000,4599.0,2528127056316257,0.057421334,0.05375614,-0.1685988
22200,4799.0,2528127256319382,0.16371189,-0.14905111,-0.07819075
22400,4999.0,2528127456322507,0.0,0.0,0.0
22600,5199.0,2528127656325632,0.05009095,-0.06352998,0.004886922
22800,5399.0,2528127856330320,0.0,0.0,0.0
23000,5599.0,2528128056331882,-0.07819075,0.04153884,0.10751228
23200,5799.0,2528128256335007,0.0,0.0,0.0
23400,5999.0,2528128456338132,-0.012217305,0.036651913,-0.06841691
23600,6200.0,2528128656341257,-0.07086037,0.06841691,0.04642576
23800,6400.0,2528128856344382,0.0,0.0,0.0
24000,6599.0,2528129056316257,-0.012217305,-0.034208454,0.10262536
24200,6799.0,2528129256319382,-0.035430185,0.04886922,0.05009095
24400,6999.0,2528129456322507,-0.13561209,0.204029,-0.02687807
24600,7199.0,2528129656325632,0.0,0.0,0.0
24800,7399.0,2528129856327195,0.05131268,0.012217305,-0.061086524
25000,7599.0,2528130056331882,-0.20158553,0.13072516,0.17959438
25200,7799.0,2528130256335007,-0.012217305,0.111177474,-0.08307768
25400,7999.0,2528130456338132,-0.07941248,0.09407325,0.047647487
25600,8200.0,2528130656341257,-0.015882496,0.0720821,-0.02687807
25800,8400.0,2528130856344382,-0.052534413,0.07941248,0.052534413
