"timestamp","sys_time","abs_timestamp","raw_x_grav","raw_y_grav","raw_z_grav"
"0.0","1508813124141","2442714319414397","9.621099","-0.1392","1.8930999"
"19.0","1508813124160","2442714339405022","9.6214","-0.14469999","1.8914"
"40.0","1508813124184","2442714359426897","9.6216","-0.1432","1.8905"
"60.0","1508813124201","2442714379419085","9.6222","-0.1432","1.8872999"
"79.0","1508813124221","2442714399409710","9.6223","-0.1459","1.8866999"
"99.0","1508813124241","2442714419400335","9.622","-0.1393","1.8888999"
"120.0","1508813124261","2442714439422210","9.6216","-0.1355","1.8908"
"139.0","1508813124281","2442714459412835","9.622399","-0.137","1.8867999"
"159.0","1508813124300","2442714479403460","9.6223","-0.1362","1.8872999"
"180.0","1508813124320","2442714499425335","9.6223","-0.1278","1.8879"
"200.0","1508813124341","2442714519417522","9.623199","-0.1239","1.8834"
"219.0","1508813124361","2442714539408147","9.6228","-0.1317","1.8849"
"239.0","1508813124380","2442714559398772","9.6219","-0.14019999","1.8887999"
"260.0","1508813124406","2442714579420647","9.6215","-0.1344","1.8913"
"279.0","1508813124424","2442714599411272","9.6229","-0.1305","1.8847"
"300.0","1508813124441","2442714619445647","9.6229","-0.13669999","1.8843"
"320.0","1508813124461","2442714639425335","9.622","-0.1401","1.8885"
"340.0","1508813124482","2442714659415960","9.6215","-0.1363","1.8914"
"359.0","1508813124500","2442714679408147","9.6227","-0.1347","1.8852999"
"379.0","1508813124520","2442714699398772","9.622","-0.1413","1.8885"
"400.0","1508813124541","2442714719420647","9.6222","-0.1378","1.888"
"419.0","1508813124561","2442714739411272","9.621799","-0.1348","1.8901"
"439.0","1508813124581","2442714759401897","9.622399","-0.129","1.8872"
"460.0","1508813124601","2442714779425335","9.6227","-0.12629999","1.8860999"
"480.0","1508813124621","2442714799415960","9.6234","-0.1286","1.8822999"
"499.0","1508813124642","2442714819406585","9.623","-0.1266","1.8843"
"519.0","1508813124661","2442714839397210","9.623199","-0.114999995","1.884"
"540.0","1508813124680","2442714859419085","9.6237","-0.12459999","1.8810999"
"559.0","1508813124701","2442714879409710","9.6223","-0.1392","1.8872999"
"579.0","1508813124720","2442714899403460","9.6221","-0.1381","1.8880999"
"600.0","1508813124746","2442714919423772","9.6228","-0.13499999","1.8847"
"620.0","1508813124780","2442714939414397","9.6237","-0.14479999","1.8793999"
"639.0","1508813124784","2442714959405022","9.6221","-0.15079999","1.8871"
"660.0","1508813124801","2442714979426897","9.622","-0.154","1.8872999"
"680.0","1508813124821","2442714999419085","9.6237","-0.15089999","1.879"
"699.0","1508813124844","2442715019409710","9.6222","-0.1524","1.8867999"
"719.0","1508813124861","2442715039400335","9.622499","-0.147","1.8857"
"740.0","1508813124881","2442715059422210","9.622499","-0.14389999","1.8855"
"759.0","1508813124901","2442715079412835","9.6237","-0.1454","1.8793"
"779.0","1508813124920","2442715099403460","9.6214","-0.14389999","1.8913"
"800.0","1508813124945","2442715119426897","9.6215","-0.13859999","1.8910999"
"820.0","1508813124960","2442715139417522","9.622","-0.14199999","1.8883"
"839.0","1508813124981","2442715159408147","9.6227","-0.1458","1.8844"
"859.0","1508813125001","2442715179398772","9.6212","-0.14899999","1.8921"
"880.0","1508813125020","2442715199422210","9.6223","-0.1467","1.8863"
"899.0","1508813125041","2442715219411272","9.6229","-0.1513","1.8833"
"919.0","1508813125060","2442715239403460","9.623099","-0.1547","1.882"
"940.0","1508813125081","2442715259425335","9.6227","-0.1644","1.8831999"
"960.0","1508813125101","2442715279415960","9.623","-0.1637","1.8814"
"979.0","1508813125120","2442715299408147","9.622499","-0.1559","1.8849"
"999.0","1508813125146","2442715319398772","9.622399","-0.1602","1.8847"
"1020.0","1508813125161","2442715339420647","9.6228","-0.16319999","1.8827"
