sys_time,timestamp,abs_timestamp,raw_x_mag,raw_y_mag,raw_z_mag
1970-01-01 00:00:00.000,1994.6,2442716309870647.0,-88.4625,95.65,23.45
1970-01-01 00:00:00.100,2084.625,2442716399865374.0,-88.53125,95.4921875,23.7890625
1970-01-01 00:00:00.200,2179.6363636363635,2442716494869511.0,-88.2840909090909,95.51136363636364,23.948863636363637
1970-01-01 00:00:00.300,2284.7,2442716599865178.5,-88.2375,95.44375,22.83125
1970-01-01 00:00:00.400,2389.7272727272725,2442716704872778.0,-87.45454545454545,95.48295454545455,24.017045454545453
1970-01-01 00:00:00.500,2494.6,2442716809863616.0,-88.68125,95.7875,22.5375
1970-01-01 00:00:00.600,2594.6,2442716909868147.0,-88.1,95.01875,23.30625
1970-01-01 00:00:00.700,2694.8,2442717009869553.5,-88.09375,95.15,23.8
1970-01-01 00:00:00.800,2794.7,2442717109866585.0,-88.23125,94.95625,22.875
1970-01-01 00:00:00.900,2894.7,2442717209869553.5,-87.8625,95.13125,24.13125
1970-01-01 00:00:01.000,2994.7,2442717309867835.0,-88.225,95.48125,23.05
1970-01-01 00:00:01.100,3094.8,2442717409869553.5,-88.18125,95.39375,22.75625
1970-01-01 00:00:01.200,3194.7,2442717509867835.0,-87.9,94.875,23.19375
1970-01-01 00:00:01.300,3294.7,2442717609866585.0,-87.75,95.25,22.68125
1970-01-01 00:00:01.400,3394.8,2442717709868929.0,-87.73125,95.55,23.925
1970-01-01 00:00:01.500,3494.7,2442717809867053.0,-88.11875,95.4375,23.4
1970-01-01 00:00:01.600,3594.8,2442717909931272.5,-88.525,95.2,23.0
1970-01-01 00:00:01.700,3694.6,2442718009866897.5,-87.6625,95.0875,23.875
1970-01-01 00:00:01.800,3794.8,2442718109873459.5,-88.5125,95.4625,22.78125
1970-01-01 00:00:01.900,3894.6,2442718209863616.0,-87.8,94.7375,23.4375
1970-01-01 00:00:02.000,3994.6,2442718309869553.0,-87.5,94.83125,23.9625
1970-01-01 00:00:02.100,4094.7,2442718409869397.0,-87.90625,95.04375,22.8375
1970-01-01 00:00:02.200,4189.777777777777,2442718504867522.0,-87.61805555555556,94.89583333333333,23.680555555555557
1970-01-01 00:00:02.300,4289.727272727273,2442718604869652.5,-87.5340909090909,95.35795454545455,25.738636363636363
1970-01-01 00:00:02.400,4394.7,2442718709871272.0,-88.10625,95.225,23.66875
1970-01-01 00:00:02.500,4494.7,2442718809866428.5,-87.8,95.50625,24.25625
1970-01-01 00:00:02.600,4594.6,2442718909869397.0,-88.3,95.50625,23.45
1970-01-01 00:00:02.700,4694.7,2442719009866897.5,-88.13125,95.01875,24.2125
1970-01-01 00:00:02.800,4794.7,2442719109980959.0,-88.05625,95.03125,24.15
1970-01-01 00:00:02.900,4894.6,2442719209866584.5,-88.3375,95.46875,22.81875
1970-01-01 00:00:03.000,4994.8,2442719309870803.5,-87.75625,95.0875,23.81875
1970-01-01 00:00:03.100,5094.7,2442719409866897.5,-88.75625,95.4875,22.6625
1970-01-01 00:00:03.200,5194.7,2442719509868772.0,-87.59375,95.05625,24.0375
1970-01-01 00:00:03.300,5294.6,2442719609874710.0,-87.58125,94.925,24.58125
1970-01-01 00:00:03.400,5394.6,2442719709867366.5,-88.29375,95.45,23.4625
1970-01-01 00:00:03.500,5494.8,2442719809869085.0,-88.1375,94.83125,23.4875
1970-01-01 00:00:03.600,5594.6,2442719909867522.0,-88.16875,95.26875,23.5125
1970-01-01 00:00:03.700,5694.7,2442720009869397.5,-88.76875,95.3625,22.975
1970-01-01 00:00:03.800,5794.8,2442720109868772.0,-87.40625,94.28125,23.9375
1970-01-01 00:00:03.900,5894.6,2442720209865960.0,-88.70625,95.36875,22.84375
1970-01-01 00:00:04.000,5994.7,2442720309870647.0,-87.725,94.91875,23.98125
1970-01-01 00:00:04.100,6094.7,2442720409866116.0,-87.7,95.49375,24.3
1970-01-01 00:00:04.200,6194.8,2442720509870647.0,-88.11875,95.75625,23.21875
1970-01-01 00:00:04.300,6294.6,2442720609866585.0,-88.1625,95.84375,23.6125
1970-01-01 00:00:04.400,6394.8,2442720709885960.0,-89.1,95.71875,22.525
