"timestamp","RPM","Speed","Consumption_Rate","AirFuelRatio","ThrottlePosition","MassAirFlow","FuelType","FuelLevel","FuelTrim","WidebandAirFuelRatio","EngineLoad","AirIntakeTemperature","AmbientAirTemperature","EngineCoolantTemperature","FuelPressure","DistanceMIL","DistanceSinceCCC","EquivalentRatio","IgnitionMonitor","ModuleVoltage","PendingTroubleCodes"
"1508813126077","1851RPM","0km/h"
"1508813126916","1824RPM","0km/h"
"1508813127479","1836RPM","0km/h"
"1508813127666","1815RPM","0km/h"
"1508813127873","1811RPM","0km/h"
"1508813128087","1798RPM","0km/h"
"1508813128269","1804RPM","0km/h"
"1508813128476","1777RPM","0km/h"
"1508813128633","1780RPM","0km/h"
"1508813128810","1769RPM","0km/h"
"1508813128961","1775RPM","0km/h"
"1508813129117","1775RPM","0km/h"
"1508813129273","1774RPM","0km/h"
"1508813129425","1753RPM","0km/h"
"1508813129581","1708RPM","0km/h"
"1508813129742","1649RPM","0km/h"
"1508813129866","1562RPM","0km/h"
"1508813129991","1479RPM","0km/h"
"1508813130095","1379RPM","0km/h"
"1508813130229","1258RPM","0km/h"
"1508813130338","1203RPM","0km/h"
"1508813130467","1212RPM","0km/h"
"1508813130558","1224RPM","2km/h"
"1508813130689","1206RPM","2km/h"
"1508813130785","1169RPM","2km/h"
"1508813130883","1165RPM","3km/h"
"1508813131009","1159RPM","3km/h"
"1508813131106","1152RPM","3km/h"
"1508813131221","1142RPM","3km/h"
"1508813131328","1124RPM","4km/h"
"1508813131461","1149RPM","4km/h"
"1508813131558","1145RPM","4km/h"
"1508813131664","1155RPM","4km/h"
"1508813131765","1133RPM","5km/h"
"1508813131856","1140RPM","5km/h"
"1508813131951","1142RPM","5km/h"
"1508813132045","1147RPM","5km/h"
"1508813132144","1126RPM","5km/h"
"1508813132252","1122RPM","5km/h"
"1508813132355","1121RPM","6km/h"
"1508813132477","1109RPM","6km/h"
"1508813132592","1105RPM","6km/h"
"1508813132693","1090RPM","6km/h"
"1508813132795","1086RPM","6km/h"
"1508813132896","1084RPM","6km/h"
"1508813133001","1079RPM","7km/h"
"1508813133099","1072RPM","7km/h"
"1508813133206","1064RPM","7km/h"
"1508813133308","1057RPM","7km/h"
"1508813133406","1065RPM","7km/h"
"1508813133522","1065RPM","7km/h"
"1508813133627","1059RPM","7km/h"
"1508813133752","1076RPM","7km/h"
"1508813133873","1066RPM","7km/h"
"1508813133979","1063RPM","8km/h"
"1508813134079","1064RPM","8km/h"
"1508813134182","1062RPM","8km/h"
"1508813134291","1066RPM","8km/h"
"1508813134383","1059RPM","8km/h"
"1508813134488","1043RPM","8km/h"
"1508813134593","1060RPM","8km/h"
"1508813134691","1063RPM","8km/h"
"1508813134793","1072RPM","8km/h"
"1508813134893","1073RPM","8km/h"
