timestamp,sys_time,abs_timestamp,raw_x_gyro,raw_y_gyro,raw_z_gyro
2000.0,100,2600176818190029.0,0.10262536,-0.105068825,0.035430185
2200.0,300,2600176918183779.0,0.031764992,-0.019547689500000007,0.010384709500000002
2400.0,500,2600177018182737.5,0.043167809999999994,-0.043167813,0.005701409133333335
2600.0,700,2600177118186904.0,0.032375857499999994,-0.03237585975,0.004276056850000001
2800.0,900,2600177218186904.0,0.011484265999999996,-0.0141720748,0.014660766080000002
3000.0,1100,2600177318187164.5,0.0024434606666666656,0.005294164333333333,0.010588331066666666
3200.0,1300,2600177418190252.5,0.021118483428571425,-0.02164208485714286,0.013089969628571427
3400.0,1500,2600177518190810.5,0.005650502999999998,0.00045814699999999903,0.010690141887499999
3600.0,1700,2600177618191592.0,0.005022669333333331,0.0004072417777777769,0.009502348344444444
3800.0,1900,2600177718191123.0,-0.0160046706,0.0327423746,0.00183259551
3999.0,2100,2600177818189461.0,-0.014549700545454547,0.029765795090909094,0.001665995918181818
4200.0,2300,2600177918188336.5,-0.013337225500000001,0.02728531216666667,0.0015271629249999999
4400.0,2500,2600178018188947.5,-0.011183533846153847,0.02781786153846154,-0.003947129607692308
4600.0,2700,2600178118188467.0,-0.010384710000000002,0.02583087142857143,-0.0036651917785714286
4800.0,2900,2600178218188258.5,-0.009692396,0.024108813333333333,-0.00342084566
5000.0,3100,2600178318189346.0,-0.0030543271250000016,0.0161879275,-0.00664315968125
5200.0,3300,2600178418189478.0,0.0010061301176470569,0.02127248235294118,-0.015738763817647057
5400.0,3500,2600178518189769.5,-0.010452584333333336,0.030339639444444448,-0.00563353527222222
5600.0,3700,2600178618191099.0,-0.003986700631578949,0.023405783157894742,-0.004822620573684208
5799.0,3900,2600178718190030.0,-0.004703663450000002,0.027550021500000004,-0.012156218544999996
5999.0,4100,2600178818189211.5,-0.010006555666666668,0.028797931904761907,-0.00157079623333333
6200.0,4300,2600178918189319.5,-0.009551712227272729,0.027488935000000003,-0.0014993964045454515
6400.0,4500,2600179018188943.0,-0.00913642039130435,0.02629376391304348,-0.0014342052565217362
