"timestamp","RPM","Speed","Consumption_Rate","AirFuelRatio","ThrottlePosition","MassAirFlow","FuelType","FuelLevel","FuelTrim","WidebandAirFuelRatio","EngineLoad","AirIntakeTemperature","AmbientAirTemperature","EngineCoolantTemperature","FuelPressure","DistanceMIL","DistanceSinceCCC","EquivalentRatio","IgnitionMonitor","ModuleVoltage","PendingTroubleCodes"
"1508970593844","1395RPM","13km/h"
"1508970594666","1381RPM","14km/h"
"1508970595244","1290RPM","14km/h"
"1508970595435","1238RPM","14km/h"
"1508970595632","1198RPM","15km/h"
"1508970595808","1157RPM","15km/h"
"1508970596012","1167RPM","15km/h"
"1508970596213","1162RPM","15km/h"
"1508970596356","1167RPM","16km/h"
"1508970596515","1171RPM","16km/h"
"1508970596668","1175RPM","16km/h"
"1508970596822","1177RPM","16km/h"
"1508970596977","1176RPM","16km/h"
"1508970597129","1188RPM","17km/h"
"1508970597285","1175RPM","17km/h"
"1508970597440","1171RPM","17km/h"
"1508970597560","1183RPM","17km/h"
"1508970597679","1169RPM","17km/h"
"1508970597775","1168RPM","17km/h"
"1508970597893","1172RPM","17km/h"
"1508970598029","1160RPM","17km/h"
"1508970598137","1163RPM","17km/h"
"1508970598239","1159RPM","17km/h"
"1508970598370","1159RPM","17km/h"
"1508970598478","1163RPM","18km/h"
"1508970598573","1158RPM","18km/h"
"1508970598680","1166RPM","18km/h"
"1508970598786","1157RPM","18km/h"
"1508970598913","1162RPM","18km/h"
"1508970599017","1165RPM","18km/h"
"1508970599115","1152RPM","18km/h"
"1508970599209","1152RPM","18km/h"
"1508970599313","1154RPM","18km/h"
"1508970599417","1158RPM","18km/h"
"1508970599537","1154RPM","18km/h"
"1508970599638","1157RPM","18km/h"
"1508970599753","1162RPM","18km/h"
"1508970599880","1158RPM","18km/h"
"1508970599982","1160RPM","18km/h"
"1508970600110","1163RPM","18km/h"
"1508970600228","1161RPM","18km/h"
"1508970600333","1166RPM","18km/h"
"1508970600434","1163RPM","18km/h"
"1508970600526","1157RPM","19km/h"
"1508970600629","1160RPM","19km/h"
"1508970600735","1165RPM","19km/h"
"1508970600859","1151RPM","19km/h"
"1508970600967","1166RPM","19km/h"
"1508970601071","1161RPM","19km/h"
"1508970601163","1155RPM","19km/h"
"1508970601272","1165RPM","19km/h"
"1508970601378","1155RPM","19km/h"
"1508970601475","1161RPM","19km/h"
"1508970601578","1168RPM","19km/h"
"1508970601682","1155RPM","19km/h"
"1508970601802","1164RPM","19km/h"
"1508970601904","1171RPM","19km/h"
"1508970602017","1150RPM","19km/h"
"1508970602107","1150RPM","19km/h"
"1508970602214","1164RPM","19km/h"
"1508970602316","1152RPM","19km/h"
"1508970602445","1154RPM","19km/h"
"1508970602555","1155RPM","19km/h"
"1508970602658","1147RPM","19km/h"
"1508970602754","1152RPM","19km/h"
"1508970602863","1148RPM","19km/h"
"1508970602972","1148RPM","19km/h"
"1508970603061","1157RPM","19km/h"
"1508970603164","1154RPM","19km/h"
"1508970603273","1153RPM","19km/h"
"1508970603372","1158RPM","19km/h"
"1508970603509","1156RPM","19km/h"
"1508970603618","1158RPM","20km/h"
"1508970603713","1158RPM","20km/h"
"1508970603820","1156RPM","20km/h"
"1508970603922","1158RPM","20km/h"
"1508970604035","1150RPM","20km/h"
"1508970604135","1144RPM","20km/h"
"1508970604245","1150RPM","20km/h"
"1508970604344","1151RPM","20km/h"
"1508970604448","1142RPM","19km/h"
"1508970604551","1146RPM","20km/h"
"1508970604650","1151RPM","20km/h"
"1508970604759","1139RPM","20km/h"
"1508970604862","1139RPM","20km/h"
"1508970604960","1155RPM","20km/h"
"1508970605089","1150RPM","20km/h"
"1508970605192","1151RPM","19km/h"
"1508970605318","1156RPM","20km/h"
"1508970605421","1167RPM","20km/h"
"1508970605532","1162RPM","20km/h"
"1508970605658","1167RPM","20km/h"
"1508970605770","1169RPM","20km/h"
"1508970605878","1155RPM","20km/h"
"1508970606000","1164RPM","20km/h"
"1508970606108","1165RPM","20km/h"
"1508970606209","1171RPM","20km/h"
"1508970606305","1181RPM","20km/h"
"1508970606415","1170RPM","20km/h"
"1508970606526","1184RPM","21km/h"
"1508970606637","1182RPM","21km/h"
"1508970606761","1174RPM","21km/h"
"1508970606893","1186RPM","21km/h"
"1508970607016","1175RPM","21km/h"
"1508970607129","1199RPM","21km/h"
"1508970607230","1181RPM","22km/h"
"1508970607332","1203RPM","22km/h"
"1508970607441","1208RPM","22km/h"
"1508970607546","1199RPM","23km/h"
"1508970607671","1235RPM","23km/h"
"1508970607776","1224RPM","23km/h"
"1508970607871","1239RPM","23km/h"
"1508970608001","1241RPM","24km/h"
"1508970608113","1244RPM","24km/h"
"1508970608219","1243RPM","25km/h"
"1508970608347","1251RPM","25km/h"
"1508970608452","1246RPM","25km/h"
"1508970608565","1249RPM","26km/h"
"1508970608715","1248RPM","26km/h"
"1508970608820","1246RPM","26km/h"
"1508970608948","1235RPM","27km/h"
"1508970609052","1224RPM","27km/h"
"1508970609155","1213RPM","27km/h"
"1508970609255","1226RPM","27km/h"
"1508970609354","1206RPM","28km/h"
"1508970609463","1214RPM","28km/h"
"1508970609571","1201RPM","28km/h"
"1508970609666","1211RPM","28km/h"
"1508970609796","1179RPM","29km/h"
"1508970609934","1214RPM","29km/h"
"1508970610059","1192RPM","29km/h"
"1508970610160","1210RPM","29km/h"
"1508970610274","1179RPM","30km/h"
"1508970610394","1198RPM","30km/h"
"1508970610519","1192RPM","30km/h"
"1508970610616","1193RPM","30km/h"
"1508970610711","1182RPM","31km/h"
"1508970610816","1187RPM","31km/h"
"1508970610945","1178RPM","31km/h"
"1508970611038","1173RPM","31km/h"
"1508970611146","1170RPM","31km/h"
"1508970611253","1162RPM","31km/h"
"1508970611380","1164RPM","32km/h"
"1508970611487","1163RPM","32km/h"
"1508970611594","1170RPM","32km/h"
"1508970611710","1186RPM","32km/h"
"1508970611840","1206RPM","32km/h"
"1508970611953","1197RPM","32km/h"
"1508970612045","1168RPM","32km/h"
"1508970612159","1190RPM","31km/h"
"1508970612273","1196RPM","31km/h"
"1508970612370","1219RPM","31km/h"
"1508970612477","1209RPM","31km/h"
"1508970612589","1215RPM","31km/h"
"1508970612692","1212RPM","31km/h"
"1508970612797","1200RPM","31km/h"
"1508970612904","1206RPM","30km/h"
"1508970613035","1197RPM","30km/h"
"1508970613146","1207RPM","30km/h"
"1508970613250","1206RPM","29km/h"
"1508970613346","1218RPM","29km/h"
"1508970613452","1210RPM","29km/h"
"1508970613566","1224RPM","29km/h"
"1508970613657","1221RPM","29km/h"
"1508970613763","1231RPM","28km/h"
"1508970613895","1223RPM","28km/h"
"1508970614018","1224RPM","28km/h"
"1508970614120","1223RPM","28km/h"
"1508970614269","1263RPM","27km/h"
"1508970614358","1210RPM","27km/h"
"1508970614460","1206RPM","27km/h"
"1508970614574","1230RPM","27km/h"
"1508970614696","1188RPM","27km/h"
"1508970614796","1199RPM","27km/h"
"1508970614894","1174RPM","27km/h"
"1508970615018","1180RPM","27km/h"
"1508970615120","1160RPM","27km/h"
"1508970615249","1178RPM","27km/h"
"1508970615347","1176RPM","27km/h"
"1508970615449","1191RPM","27km/h"
"1508970615550","1211RPM","27km/h"
"1508970615646","1253RPM","27km/h"
"1508970615760","1275RPM","27km/h"
"1508970615865","1266RPM","27km/h"
"1508970616013","1248RPM","27km/h"
"1508970616115","1261RPM","27km/h"
"1508970616215","1254RPM","27km/h"
"1508970616316","1262RPM","27km/h"
"1508970616419","1221RPM","27km/h"
"1508970616525","1236RPM","26km/h"
"1508970616622","1223RPM","26km/h"
"1508970616722","1233RPM","26km/h"
"1508970616829","1202RPM","26km/h"
"1508970616927","1229RPM","26km/h"
"1508970617032","1219RPM","25km/h"
"1508970617162","1233RPM","25km/h"
"1508970617260","1226RPM","25km/h"
"1508970617376","1222RPM","25km/h"
"1508970617475","1223RPM","24km/h"
"1508970617599","1218RPM","24km/h"
"1508970617699","1227RPM","24km/h"
"1508970617800","1221RPM","24km/h"
"1508970617901","1222RPM","23km/h"
"1508970618006","1232RPM","23km/h"
"1508970618110","1225RPM","23km/h"
"1508970618204","1228RPM","23km/h"
"1508970618307","1219RPM","23km/h"
"1508970618410","1216RPM","22km/h"
"1508970618516","1216RPM","22km/h"
"1508970618664","1187RPM","22km/h"
"1508970618770","1103RPM","22km/h"
"1508970618863","1059RPM","21km/h"
