"timestamp","sys_time","abs_timestamp","raw_x_lin_acc","raw_y_lin_acc","raw_z_lin_acc"
"0.0","1508884952462","2514535248465096","0.1442","-0.064399995","0.13059999"
"19.0","1508884952482","2514535268438533","0.2427","-0.063599996","0.0995"
"39.0","1508884952503","2514535288427596","0.1645","0.072399996","0.059"
"59.0","1508884952522","2514535308451033","0.1838","-0.0307","-0.007999999"
"79.0","1508884952543","2514535328441658","0.22369999","-0.0288","0.0774"
"99.0","1508884952562","2514535348432283","0.2622","0.0845","0.0018"
"119.0","1508884952582","2514535368422908","0.2038","0.0736","0.078499995"
"139.0","1508884952602","2514535388446346","0.1361","-0.0896","0.13319999"
"159.0","1508884952622","2514535408436971","0.23429999","0.0139","0.0442"
"179.0","1508884952642","2514535428427596","0.1074","0.0324","0.1007"
"199.0","1508884952662","2514535448449471","0.1963","-0.0888","0.0491"
"219.0","1508884952682","2514535468440096","0.1979","0.0299","-0.0257"
"239.0","1508884952702","2514535488430721","0.1485","0.1278","0.1125"
"259.0","1508884952725","2514535508422908","0.2454","-0.0046","0.0289"
"280.0","1508884952743","2514535528560408","0.15689999","-0.011299999","0.0106"
"299.0","1508884952762","2514535548435408","0.32439998","0.009099999","0.1152"
"319.0","1508884952786","2514535568426033","0.1188","0.030299999","-0.0235"
"339.0","1508884952802","2514535588447908","0.31399998","-0.0888","0.019299999"
"359.0","1508884952822","2514535608440096","0.15699999","0.0778","0.029399998"
"379.0","1508884952842","2514535628430721","0.1577","0.15349999","0.1051"
"399.0","1508884952862","2514535648421346","0.1274","0.023","-0.0383"
"419.0","1508884952883","2514535668443221","0.22549999","-0.0029","0.039899997"
"439.0","1508884952905","2514535688435408","0.32369998","-0.0394","0.0883"
"459.0","1508884952923","2514535708426033","0.16669999","-0.0016999999","0.0101"
"479.0","1508884952945","2514535728447908","0.20619999","-5.9999997E-4","0.0486"
"499.0","1508884952962","2514535748438533","0.2244","0.043399997","-0.0047"
"519.0","1508884952982","2514535768429158","0.1364","-0.0369","0.0923"
"539.0","1508884953003","2514535788419783","0.2435","-0.0523","-0.0123"
"559.0","1508884953022","2514535808443221","0.1854","-0.0052","0.0726"
"579.0","1508884953042","2514535828433846","0.3223","-0.054199997","0.045199998"
"599.0","1508884953062","2514535848424471","0.2148","-0.087299995","0.024"
"619.0","1508884953082","2514535868447908","0.2043","-0.053299997","-0.0023999999"
"639.0","1508884953107","2514535888438533","0.2814","-0.036399998","0.022799999"
"659.0","1508884953122","2514535908429158","0.095","0.0028","0.0132"
"679.0","1508884953142","2514535928451033","0.2505","0.0695","-0.0101"
"699.0","1508884953162","2514535948443221","0.0646","-0.0504","0.0955"
"719.0","1508884953183","2514535968432283","0.3101","-0.0669","0.055099998"
"739.0","1508884953205","2514535988424471","0.1237","0.081599995","0.124"
"759.0","1508884953222","2514536008446346","0.2112","0.0122","-0.0491"
"779.0","1508884953242","2514536028436971","0.1327","-0.017099999","0.0197"
"799.0","1508884953262","2514536048427596","0.1915","0.1245","0.10789999"
"819.0","1508884953282","2514536068449471","0.1129","0.0924","-0.0188"
"839.0","1508884953302","2514536088441658","0.104499996","-0.0749","0.14199999"
"859.0","1508884953322","2514536108430721","0.35889998","0.0438","0.0363"
"879.0","1508884953342","2514536128422908","0.1818","-0.0556","0.0682"
"899.0","1508884953362","2514536148444783","0.2507","0.0137","0.028299998"
"919.0","1508884953382","2514536168435408","0.1721","0.0134","0.038399998"
"939.0","1508884953404","2514536188426033","0.20099999","0.0774","0.021"
"959.0","1508884953422","2514536208449471","0.1417","-0.038599998","-0.025899999"
"979.0","1508884953442","2514536228440096","0.0932","-0.065299995","0.0994"
"999.0","1508884953462","2514536248430721","0.2016","-0.013599999","0.0676"
