sys_time,timestamp,abs_timestamp,raw_x_rot,raw_y_rot,raw_z_rot
0,4669.0,2514539918436033.0,-0.1219770996,-0.6091363000000001,-0.14952120000000002
200,4869.0,2514540118435877.0,-0.12158969960000003,-0.6089076,-0.14920770000000003
400,5069.0,2514540318433221.0,-0.1216133,-0.6087970970000002,-0.14905970000000002
600,5269.0,2514540518436345.0,-0.12177650000000001,-0.6087574,-0.1494011
800,5469.0,2514540718435720.5,-0.1217309,-0.6086708000000001,-0.1493405
1000,5669.0,2514540918435877.0,-0.1210004,-0.6089640999999999,-0.14827490000000002
1200,5869.0,2514541118436033.0,-0.1200668996,-0.6097243000000001,-0.1473567
1400,6069.0,2514541318435721.0,-0.1197547,-0.6100803000000001,-0.1467434
1600,6269.0,2514541518435721.0,-0.1205499,-0.6095799,-0.1471536
1800,6469.0,2514541718436189.0,-0.12121909960000002,-0.6092036999999999,-0.14793929999999997
2000,6669.0,2514541918435721.0,-0.1217741,-0.6092091,-0.14864119999999995
2200,6869.0,2514542118435721.0,-0.1217887992,-0.6089168,-0.148968599
2400,7069.0,2514542318432908.0,-0.1216762,-0.6082990970000001,-0.1487598
2600,7269.0,2514542518435877.0,-0.1212516,-0.6080121,-0.1486195
2800,7469.0,2514542718435408.5,-0.12123929999999998,-0.6084758970000002,-0.14876640000000002
3000,7669.0,2514542918435564.0,-0.12165419999999999,-0.6089834,-0.14896220000000002
3200,7869.0,2514543118435877.0,-0.1217409,-0.6089103999999999,-0.1486767
3400,8069.0,2514543318435877.0,-0.12165,-0.6086275000000001,-0.14882939999999995
3600,8269.0,2514543518435408.5,-0.1213192,-0.6082704000000001,-0.14904710000000002
3800,8469.0,2514543718435565.0,-0.1213642992,-0.6082297999999999,-0.14883439999999998
4000,8669.0,2514543918435565.0,-0.12130480000000002,-0.608166897,-0.14829779999999998
4200,8869.0,2514544118435251.5,-0.12149769999999999,-0.6083897,-0.14823460000000002
4400,9069.0,2514544318435564.5,-0.1217267992,-0.6086311999999999,-0.14816659999999998
4600,9269.0,2514544518435096.0,-0.1219038992,-0.608753597,-0.14860220000000002
4800,9469.0,2514544718435408.0,-0.1220184,-0.6087413,-0.14871099999999998
5000,9669.0,2514544918435095.0,-0.1213306996,-0.609135,-0.14851630000000002
5200,9869.0,2514545118438846.0,-0.1209018,-0.6095154,-0.1485096
5400,10069.0,2514545318435408.0,-0.1215606996,-0.6092441000000001,-0.14912399999999998
5600,10269.0,2514545518435564.5,-0.12159959960000002,-0.6093373000000001,-0.1486928
5800,10469.0,2514545718434939.0,-0.12206289959999997,-0.6090562970000001,-0.1487061
6000,10669.1,2514545918446189.0,-0.1227587,-0.6086954000000001,-0.14893689999999998
6200,10869.0,2514546118434783.0,-0.12295720000000003,-0.6087489970000001,-0.14874740000000006
6400,11069.0,2514546318435408.5,-0.12185139999999997,-0.6097848000000001,-0.14761719899999998
6600,11269.0,2514546518434939.5,-0.1215999,-0.6099231970000001,-0.14795
6800,11469.0,2514546718435095.0,-0.12214079960000003,-0.6091594999999999,-0.14927359999999998
7000,11669.0,2514546918435095.0,-0.1229,-0.6087606,-0.1503384
7200,11869.0,2514547118438221.0,-0.1228973,-0.608249697,-0.15075309899999995
7400,12069.0,2514547318435096.0,-0.1224774,-0.6086576,-0.14998670000000003
7600,12269.0,2514547518434783.5,-0.12223849960000002,-0.6090132970000001,-0.1494416
7800,12469.0,2514547718438065.0,-0.12144469960000001,-0.6095188,-0.14864539999999998
8000,12669.0,2514547918434627.0,-0.1213655,-0.6085192970000001,-0.1489581
8200,12869.0,2514548118434939.0,-0.1220457996,-0.6081919,-0.1494541
