"timestamp","sys_time","abs_timestamp","raw_x_rot","raw_y_rot","raw_z_rot"
"0.0","1527607880662","41726212661000","0.16532053","0.68750936","0.68750936"
"9.0","1527607880664","41726222090000","0.16532049","0.6875092","0.6875094"
"17.0","1527607880671","41726230558000","0.16532053","0.68750936","0.68750936"
"27.0","1527607880680","41726239978000","0.16532058","0.68750954","0.6875093"
"36.0","1527607880688","41726248728000","0.16532053","0.68750936","0.68750936"
"45.0","1527607880698","41726257925000","0.16532049","0.6875092","0.6875094"
"54.0","1527607880706","41726266902000","0.16532053","0.68750936","0.68750936"
"63.0","1527607880715","41726276077000","0.16532058","0.68750954","0.6875093"
"71.0","1527607880724","41726284649000","0.16532053","0.68750936","0.68750936"
"80.0","1527607880733","41726293641000","0.16532049","0.6875092","0.6875094"
"89.0","1527607880742","41726302511000","0.16532053","0.68750936","0.68750936"
"99.0","1527607880753","41726311672000","0.16532058","0.68750954","0.6875093"
"107.0","1527607880760","41726320571000","0.16532053","0.68750936","0.68750936"
"116.0","1527607880769","41726329532000","0.16532049","0.6875092","0.6875094"
"126.0","1527607880779","41726339023000","0.16532053","0.68750936","0.68750936"
"134.0","1527607880787","41726347653000","0.16532058","0.68750954","0.6875093"
"144.0","1527607880797","41726356728000","0.16532053","0.68750936","0.68750936"
"152.0","1527607880812","41726365368000","0.16532049","0.6875092","0.6875094"
"161.0","1527607880817","41726374307000","0.16532053","0.68750936","0.68750936"
"170.0","1527607880824","41726383366000","0.16532058","0.68750954","0.6875093"
"180.0","1527607880834","41726393210000","0.16532053","0.68750936","0.68750936"
"189.0","1527607880842","41726402602000","0.16532049","0.6875092","0.6875094"
"199.0","1527607880853","41726411998000","0.16532053","0.68750936","0.68750936"
"207.0","1527607880859","41726420339000","0.16532058","0.68750954","0.6875093"
"216.0","1527607880869","41726429377000","0.16532053","0.68750936","0.68750936"
"226.0","1527607880879","41726438733000","0.16532049","0.6875092","0.6875094"
"235.0","1527607880887","41726447943000","0.16532053","0.68750936","0.68750936"
