"timestamp","sys_time","abs_timestamp","raw_x_rot","raw_y_rot","raw_z_rot"
"0.0","1508975971978","2605508260444997","-0.123814","-0.681327","-0.148259"
"26.0","1508975972000","2605508287426247","-0.124428","-0.681863","-0.147061"
"46.0","1508975972020","2605508307416872","-0.124771","-0.681836","-0.146819"
"66.0","1508975972040","2605508327438747","-0.123566","-0.681511","-0.147976"
"86.0","1508975972060","2605508347430935","-0.123472","-0.680242","-0.149353"
"106.0","1508975972080","2605508367419997","-0.125479","-0.678312","-0.149919"
"126.0","1508975972100","2605508387443435","-0.125093","-0.678501","-0.14965"
"146.0","1508975972120","2605508407434060","-0.123348","-0.679763","-0.149196"
"166.0","1508975972140","2605508427424685","-0.123676","-0.68046","-0.148085"
"187.0","1508975972160","2605508447446560","-0.124625","-0.680056","-0.147681"
"206.0","1508975972180","2605508467437185","-0.123719","-0.679231","-0.148925"
"226.0","1508975972200","2605508487429372","-0.12343","-0.677434","-0.150873"
"246.0","1508975972221","2605508507419997","-0.124211","-0.676754","-0.15082"
"266.0","1508975972241","2605508527441872","-0.123944","-0.67868197","-0.148633"
"286.0","1508975972262","2605508547434060","-0.122554","-0.682186","-0.145438"
"306.0","1508975972280","2605508567423122","-0.121961","-0.685587","-0.141639"
"327.0","1508975972300","2605508587446560","-0.121690996","-0.686649","-0.14034499"
"346.0","1508975972320","2605508607437185","-0.120702","-0.685359","-0.142548"
"366.0","1508975972340","2605508627427810","-0.121346","-0.682597","-0.145471"
"386.0","1508975972360","2605508647418435","-0.123938","-0.679087","-0.147943"
"406.0","1508975972380","2605508667440310","-0.123945","-0.678877","-0.148457"
"426.0","1508975972400","2605508687430935","-0.122636996","-0.680626","-0.147658"
"446.0","1508975972420","2605508707423122","-0.122769","-0.682745","-0.145285"
"467.0","1508975972440","2605508727444997","-0.123028","-0.684031","-0.14364"
"486.0","1508975972464","2605508747435622","-0.122182","-0.68446","-0.143633"
"506.0","1508975972480","2605508767426247","-0.122004","-0.683465","-0.144861"
"526.0","1508975972500","2605508787418435","-0.122034","-0.682233","-0.146265"
"546.0","1508975972525","2605508807440310","-0.121695","-0.682328","-0.146362"
"566.0","1508975972540","2605508827430935","-0.121887","-0.683394","-0.144958"
"586.0","1508975972560","2605508847421560","-0.121546","-0.684955","-0.143338"
"606.0","1508975972580","2605508867443435","-0.120547","-0.686065","-0.142618"
"626.0","1508975972600","2605508887435622","-0.120649","-0.685739","-0.142872"
"646.0","1508975972621","2605508907424685","-0.121612","-0.684462","-0.14359"
"666.0","1508975972640","2605508927416872","-0.121708","-0.683544","-0.144502"
"686.0","1508975972660","2605508947438747","-0.121265","-0.683692","-0.144752"
"706.0","1508975972680","2605508967429372","-0.121473","-0.684149","-0.144166"
