sys_time,timestamp,abs_timestamp,raw_x_rot,raw_y_rot,raw_z_rot
0,3506.0,2605511767429372.5,-0.1204022,-0.6862872,-0.1412664
100,3606.2,2605511867434060.0,-0.12093759999999999,-0.6856730000000001,-0.14180639999999997
200,3706.2,2605511967432185.0,-0.1209048,-0.6855812,-0.1417316
300,3806.0,2605512067430622.5,-0.12055739999999998,-0.6854979999999999,-0.141586198
400,3906.0,2605512167429372.0,-0.12102300000000002,-0.6858088000000001,-0.14118239800000001
500,4006.2,2605512267434372.5,-0.1205438,-0.6859013999999999,-0.14125279999999998
600,4106.0,2605512367432185.0,-0.1198823992,-0.685128,-0.1420978
700,4206.2,2605512467431247.0,-0.11973720000000003,-0.6848951940000001,-0.14246979999999998
800,4306.2,2605512567435309.0,-0.119255,-0.6860557999999999,-0.1415882
900,4406.0,2605512667427810.0,-0.119897,-0.6852034,-0.14252299799999998
1000,4506.0,2605512767431872.0,-0.1203288,-0.6839924,-0.14346399999999998
1100,4606.0,2605512867430935.0,-0.12001660000000001,-0.6844884,-0.14309560000000002
1200,4706.0,2605512967429059.5,-0.1199627992,-0.6854899940000001,-0.14230079999999998
1300,4806.2,2605513067433435.0,-0.12082840000000003,-0.6843538,-0.14290039999999998
1400,4906.2,2605513167432497.0,-0.1206868,-0.683727394,-0.14369320000000002
1500,5006.0,2605513267430935.0,-0.1205662,-0.684286394,-0.14351819999999998
1600,5106.2,2605513367429372.0,-0.1201527992,-0.6850474,-0.14243599999999998
1700,5206.0,2605513467434060.0,-0.12114580000000001,-0.6844537999999999,-0.14289720000000003
1800,5306.0,2605513567426247.0,-0.12291500000000001,-0.6840778000000001,-0.144397398
1900,5406.2,2605513667437185.0,-0.12194399999999997,-0.6864039999999999,-0.14307779999999998
2000,5506.0,2605513767428747.0,-0.1223162,-0.6862142,-0.14329920000000002
2100,5606.2,2605513867433747.5,-0.1226238,-0.6859294,-0.1434388
2200,5706.2,2605513967431872.0,-0.12313419999999999,-0.6856324,-0.14321099999999998
