timestamp,RPM,Speed
0.0,1667.0,0.0
400.0,1659.5,0.0
700.0,1655.0,0.0
900.0,1657.0,0.0
1100.0,1657.6,0.0
1200.0,1641.3333333333333,0.0
1300.0,1607.7142857142858,0.0
1500.0,1559.625,0.0
1600.0,1502.2222222222222,0.0
1700.0,1455.2,0.0
1800.0,1420.6363636363637,0.0
1900.0,1392.5833333333333,0.0
2000.0,1364.923076923077,0.0
2100.0,1338.7857142857142,0.0
2300.0,1268.3529411764705,0.0
2400.0,1247.7222222222222,0.0
2500.0,1228.3157894736842,0.0
2700.0,1179.2272727272727,0.2727272727272727
2800.0,1166.695652173913,0.34782608695652173
3000.0,1147.0384615384614,0.5769230769230769
3200.0,1150.7241379310344,0.8620689655172413
3500.0,1176.4411764705883,1.4411764705882353
3800.0,1221.3846153846155,2.1794871794871793
4100.0,1231.159090909091,2.9318181818181817
4500.0,1209.450980392157,3.7058823529411766
4900.0,1173.8275862068965,3.8275862068965516
5400.0,1145.44776119403,3.373134328358209
5800.0,1148.027027027027,3.054054054054054
6200.0,1139.148148148148,2.7901234567901234
6600.0,1117.9318181818182,2.5681818181818183
7000.0,1104.3684210526317,2.463157894736842
7300.0,1102.02,2.47
7400.0,1097.91,2.5
7500.0,1094.29,2.53
7600.0,1090.58,2.57
7800.0,1085.73,2.61
7900.0,1080.42,2.65
8000.0,1075.52,2.7
8100.0,1071.49,2.75
8200.0,1069.0,2.8
8300.0,1068.11,2.85
8400.0,1067.27,2.9
8600.0,1065.88,2.94
8700.0,1064.35,2.98
8800.0,1063.24,3.02
8900.0,1062.44,3.06
9000.0,1061.79,3.09
9100.0,1061.35,3.12
9200.0,1061.14,3.14
9300.0,1060.91,3.16
9400.0,1060.85,3.18
9500.0,1061.0,3.16
9700.0,1061.33,3.14
9800.0,1061.81,3.12
9900.0,1062.48,3.1
10000.0,1063.02,3.08
10100.0,1063.21,3.06
10200.0,1062.56,3.03
10300.0,1061.37,3.0
10400.0,1060.0,2.97
10500.0,1058.66,2.93
10600.0,1057.58,2.89
10700.0,1056.26,2.85
10800.0,1054.18,2.8
11000.0,1051.29,2.75
11100.0,1047.0,2.69
11200.0,1041.82,2.63
11300.0,1036.33,2.56
11400.0,1030.42,2.49
11500.0,1024.25,2.41
11600.0,1018.42,2.33
11700.0,1013.12,2.25
11800.0,1009.42,2.16
11900.0,1007.15,2.09
12100.0,1008.94,2.02
12200.0,1012.1,1.96
12300.0,1017.44,1.91
12400.0,1024.07,1.87
12500.0,1031.38,1.84
12600.0,1038.62,1.82
12700.0,1045.99,1.82
12800.0,1053.57,1.82
12900.0,1061.75,1.83
13000.0,1070.38,1.86
13100.0,1079.84,1.91
13300.0,1089.55,1.98
13400.0,1099.39,2.05
13500.0,1108.93,2.14
13600.0,1117.9,2.24
13700.0,1126.67,2.35
13800.0,1134.97,2.47
13900.0,1142.41,2.6
14000.0,1149.32,2.75
14100.0,1155.86,2.91
14200.0,1161.88,3.07
14300.0,1167.41,3.24
14500.0,1172.28,3.41
14600.0,1176.45,3.59
14700.0,1180.26,3.77
14800.0,1183.9,3.96
14900.0,1187.15,4.15
15000.0,1189.57,4.35
15100.0,1191.1,4.55
15200.0,1191.86,4.76
15300.0,1192.3,4.97
15400.0,1192.96,5.18
15500.0,1193.66,5.4
15600.0,1195.38,5.62
15800.0,1197.97,5.85
15900.0,1201.01,6.08
16000.0,1204.82,6.31
16100.0,1208.87,6.55
16200.0,1213.02,6.79
16300.0,1217.65,7.04
16400.0,1222.55,7.29
16500.0,1227.66,7.54
16600.0,1232.87,7.8
16700.0,1238.35,8.06
16800.0,1244.04,8.32
16900.0,1249.97,8.59
17000.0,1255.96,8.86
17100.0,1262.04,9.14
17200.0,1268.16,9.42
17400.0,1274.07,9.69
17500.0,1280.05,9.96
17600.0,1285.79,10.24
17700.0,1291.06,10.52
17800.0,1296.11,10.81
17900.0,1300.85,11.1
18000.0,1305.16,11.39
18100.0,1308.43,11.68
18200.0,1311.3,11.97
18300.0,1313.19,12.27
18400.0,1314.68,12.57
18500.0,1316.4,12.86
18600.0,1318.89,13.16
18800.0,1322.11,13.46
18900.0,1325.63,13.75
19000.0,1329.96,14.05
19100.0,1334.32,14.35
19200.0,1338.99,14.65
19300.0,1343.51,14.95
19400.0,1348.03,15.27
19500.0,1352.46,15.59
19600.0,1357.02,15.91
19700.0,1361.49,16.24
19800.0,1365.99,16.58
19900.0,1370.7,16.92
20100.0,1375.52,17.27
20200.0,1380.78,17.63
20300.0,1385.88,17.99
20400.0,1391.13,18.37
20500.0,1396.01,18.75
20600.0,1400.89,19.13
20700.0,1405.22,19.52
20800.0,1409.49,19.91
20900.0,1413.6,20.3
21000.0,1417.625,20.695
21100.0,1421.515,21.095
21300.0,1424.945,21.495
21400.0,1427.925,21.895
21500.0,1430.525,22.305
21600.0,1433.075,22.715
21700.0,1435.805,23.125
21800.0,1439.015,23.535
21900.0,1442.925,23.955
22000.0,1447.115,24.375
22100.0,1451.495,24.795
22200.0,1455.985,25.215
22400.0,1460.575,25.645
22500.0,1465.205,26.075
22600.0,1469.645,26.505
22700.0,1473.675,26.935
22800.0,1476.925,27.345
22900.0,1477.035,27.765
23000.0,1475.965,28.175
23100.0,1473.435,28.575
23200.0,1469.605,28.965
23300.0,1465.365,29.345
23500.0,1461.335,29.725
23600.0,1457.375,30.095
23700.0,1453.435,30.465
23800.0,1449.155,30.825
23900.0,1444.725,31.175
24000.0,1440.005,31.525
24100.0,1435.025,31.865
24200.0,1430.165,32.205
24300.0,1425.655,32.535
24400.0,1421.955,32.875
24600.0,1418.465,33.205
24700.0,1415.405,33.535
24800.0,1413.085,33.855
24900.0,1410.985,34.175
25000.0,1409.045,34.495
25100.0,1407.475,34.815
25200.0,1406.065,35.125
25300.0,1405.215,35.435
25500.0,1404.885,35.745
25600.0,1404.755,36.055
25700.0,1404.745,36.355
25800.0,1404.905,36.655
25900.0,1404.925,36.945
26000.0,1404.985,37.235
26100.0,1404.855,37.515
26200.0,1404.455,37.795
26300.0,1403.555,38.085
26500.0,1402.645,38.365
26600.0,1401.405,38.645
26700.0,1399.955,38.915
26800.0,1398.555,39.185
26900.0,1396.955,39.455
27000.0,1395.255,39.715
27100.0,1393.645,39.975
27200.0,1391.845,40.225
27400.0,1389.765,40.475
27500.0,1387.435,40.725
27600.0,1384.925,40.965
27700.0,1382.125,41.205
27800.0,1379.085,41.445
27900.0,1375.755,41.675
28000.0,1372.165,41.905
28100.0,1368.335,42.125
28200.0,1364.335,42.345
28400.0,1360.485,42.555
28500.0,1356.635,42.765
28600.0,1352.955,42.965
28700.0,1349.545,43.165
28800.0,1346.185,43.355
28900.0,1342.945,43.545
29000.0,1339.905,43.725
29100.0,1337.005,43.905
29200.0,1334.185,44.085
29400.0,1331.295,44.255
29500.0,1328.475,44.425
29600.0,1325.605,44.595
29700.0,1322.925,44.755
29800.0,1320.035,44.915
29900.0,1317.485,45.075
30000.0,1314.815,45.235
30100.0,1312.475,45.395
30200.0,1310.115,45.555
30400.0,1307.885,45.715
30500.0,1305.815,45.865
30600.0,1304.045,46.015
30700.0,1302.165,46.165
30800.0,1300.405,46.305
30900.0,1298.815,46.445
31000.0,1297.155,46.585
31100.0,1295.445,46.735
31200.0,1293.465,46.875
31400.0,1291.675,47.015
31500.0,1289.775,47.155
31600.0,1287.975,47.295
31700.0,1285.925,47.435
31800.0,1284.145,47.565
31900.0,1282.065,47.695
32000.0,1280.055,47.825
32100.0,1278.0,47.95
32200.0,1276.01,48.07
32300.0,1273.99,48.19
32500.0,1272.07,48.31
32600.0,1270.12,48.42
32700.0,1268.18,48.54
32800.0,1266.14,48.66
32900.0,1264.23,48.77
33000.0,1262.11,48.88
33100.0,1260.04,48.98
33200.0,1257.81,49.09
33300.0,1255.64,49.2
33400.0,1253.47,49.29
33500.0,1251.1,49.38
33700.0,1248.89,49.47
33800.0,1246.66,49.56
33900.0,1244.37,49.65
34000.0,1242.36,49.73
34100.0,1240.7,49.81
34200.0,1238.85,49.89
34300.0,1237.06,49.97
34400.0,1235.29,50.05
34500.0,1233.37,50.11
34600.0,1231.64,50.17
34700.0,1229.89,50.23
34900.0,1228.06,50.29
35000.0,1226.31,50.35
35100.0,1224.52,50.4
35200.0,1222.85,50.45
35300.0,1221.06,50.5
35400.0,1219.34,50.55
35500.0,1217.43,50.58
35600.0,1215.5,50.61
35700.0,1213.58,50.64
35800.0,1211.58,50.67
35900.0,1209.77,50.7
36100.0,1207.95,50.71
36200.0,1206.18,50.72
36300.0,1204.55,50.73
36400.0,1202.84,50.74
36500.0,1201.27,50.74
36600.0,1199.65,50.73
36700.0,1198.12,50.72
36800.0,1196.67,50.71
36900.0,1195.41,50.7
37000.0,1194.33,50.69
37100.0,1193.57,50.68
37300.0,1192.98,50.66
37400.0,1192.73,50.63
37500.0,1192.72,50.6
37600.0,1193.01,50.57
37700.0,1193.37,50.54
37800.0,1193.93,50.5
37900.0,1194.62,50.46
38000.0,1195.36,50.42
38100.0,1196.3,50.38
38300.0,1197.17,50.33
38400.0,1198.1,50.28
38500.0,1199.01,50.23
38600.0,1199.91,50.18
38700.0,1200.86,50.13
38800.0,1201.78,50.07
38900.0,1202.74,50.01
39000.0,1203.62,49.95
39100.0,1204.41,49.89
39200.0,1205.24,49.82
39400.0,1206.01,49.75
39500.0,1206.78,49.68
39600.0,1207.49,49.6
39700.0,1208.29,49.52
39800.0,1209.1,49.44
39900.0,1209.95,49.35
40000.0,1210.82,49.26
40100.0,1211.69,49.17
40200.0,1212.51,49.08
40400.0,1213.37,48.99
40500.0,1214.22,48.89
40600.0,1215.01,48.79
40700.0,1215.8,48.68
40800.0,1216.38,48.57
40900.0,1216.91,48.45
41000.0,1217.33,48.32
41100.0,1217.64,48.18
41200.0,1217.87,48.04
41400.0,1218.29,47.89
41500.0,1218.79,47.74
41600.0,1219.11,47.58
41700.0,1219.67,47.42
41800.0,1220.11,47.25
41900.0,1220.37,47.08
42000.0,1220.57,46.9
42100.0,1220.78,46.71
42300.0,1220.91,46.51
42400.0,1221.04,46.3
42500.0,1221.08,46.09
42600.0,1221.2,45.87
42700.0,1221.33,45.64
42800.0,1221.44,45.41
42900.0,1221.56,45.17
43000.0,1221.65,44.92
43200.0,1221.74,44.67
43300.0,1221.86,44.41
43400.0,1222.14,44.15
43500.0,1222.37,43.88
43600.0,1222.59,43.6
43700.0,1222.81,43.31
43800.0,1223.03,43.01
43900.0,1223.19,42.71
44100.0,1223.36,42.39
44200.0,1223.48,42.07
44300.0,1223.56,41.74
44400.0,1223.23,41.4
44500.0,1221.8,41.07
44600.0,1219.93,40.73
44700.0,1217.73,40.38
44900.0,1216.16,40.03
45000.0,1215.38,39.67
45100.0,1214.87,39.3
45200.0,1213.82,38.92
45300.0,1212.37,38.54
45400.0,1210.82,38.15
45500.0,1208.94,37.75
45700.0,1206.68,37.36
45800.0,1203.91,36.96
45900.0,1200.97,36.56
46000.0,1197.89,36.16
46100.0,1194.62,35.75
46200.0,1191.51,35.34
46300.0,1188.61,34.93
46400.0,1186.1,34.52
46600.0,1184.97,34.11
46700.0,1184.45,33.71
46800.0,1186.71,33.31
46900.0,1189.58,32.92
47000.0,1193.64,32.53
47100.0,1198.25,32.14
47200.0,1203.03,31.77
47400.0,1208.02,31.41
47500.0,1213.18,31.05
47600.0,1218.8,30.69
47700.0,1224.42,30.34
47800.0,1230.1,30.01
47900.0,1235.61,29.68
48000.0,1240.96,29.36
48100.0,1246.27,29.04
48300.0,1251.33,28.73
48400.0,1256.23,28.42
48500.0,1260.93,28.13
48600.0,1265.5,27.84
48700.0,1269.76,27.56
48800.0,1273.55,27.28
48900.0,1276.82,27.01
49000.0,1279.87,26.75
49100.0,1281.96,26.5
49300.0,1283.36,26.25
49400.0,1284.51,26.01
49500.0,1285.83,25.78
49600.0,1286.93,25.55
49700.0,1288.05,25.33
49800.0,1289.31,25.11
49900.0,1290.41,24.9
50000.0,1291.58,24.7
50200.0,1293.18,24.5
50300.0,1295.06,24.31
50400.0,1297.03,24.12
50500.0,1299.13,23.95
50600.0,1301.66,23.78
50700.0,1304.31,23.62
50800.0,1307.2,23.47
51000.0,1310.07,23.32
51100.0,1313.01,23.18
51200.0,1315.93,23.06
51300.0,1319.16,22.94
51400.0,1322.44,22.83
51500.0,1325.63,22.72
51600.0,1329.02,22.61
51700.0,1332.3,22.52
51900.0,1335.73,22.44
52000.0,1339.06,22.37
52100.0,1342.84,22.31
52200.0,1346.39,22.26
52300.0,1350.22,22.21
52400.0,1354.18,22.18
52500.0,1358.5,22.16
52600.0,1362.95,22.15
52800.0,1367.54,22.15
52900.0,1372.34,22.16
53000.0,1377.08,22.18
53100.0,1382.14,22.21
53200.0,1387.48,22.25
53300.0,1392.96,22.3
53400.0,1398.45,22.35
53500.0,1403.95,22.42
53700.0,1409.44,22.5
53800.0,1414.88,22.59
53900.0,1420.32,22.69
54000.0,1425.74,22.81
54100.0,1431.07,22.93
54200.0,1436.38,23.07
54300.0,1441.75,23.22
54400.0,1447.13,23.37
54500.0,1452.43,23.54
54700.0,1457.71,23.71
54800.0,1462.87,23.9
54900.0,1468.07,24.1
55000.0,1473.24,24.31
55100.0,1478.46,24.53
55200.0,1483.3,24.76
55300.0,1488.12,25.01
